field	field_role	type	n_present	missing_pct	values	association_status	action_block_assoc	action_recheck_assoc	action_enter_assoc	association_n
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:12	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7245, ""True"": 318}"	computed_or_insufficient	0.03938	0.03647	0.0176	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:13	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7232, ""True"": 331}"	computed_or_insufficient	0.05147	0.04855	0.01797	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:14	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7370, ""True"": 193}"	computed_or_insufficient	0.00195	0.00045	0.01359	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:15	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7246, ""True"": 317}"	computed_or_insufficient	0.0306	0.03045	0.00175	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:16	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7283, ""True"": 280}"	computed_or_insufficient	0.02139	0.01858	0.01647	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:17	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7274, ""True"": 289}"	computed_or_insufficient	0.01972	0.0228	0.01674	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:18	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7001, ""True"": 562}"	computed_or_insufficient	0.01659	0.01996	0.0185	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:19	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7067, ""True"": 496}"	computed_or_insufficient	0.02293	0.02251	0.00305	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:20	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7233, ""True"": 330}"	computed_or_insufficient	0.00864	0.00825	0.00243	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:21	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7345, ""True"": 218}"	computed_or_insufficient	0.01927	0.01681	0.01447	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:22	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7193, ""True"": 370}"	computed_or_insufficient	0.02178	0.01982	0.0117	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:23	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7005, ""True"": 558}"	computed_or_insufficient	0.03232	0.03044	0.01158	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:24	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7086, ""True"": 477}"	computed_or_insufficient	0.04359	0.03996	0.0218	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:25	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7239, ""True"": 324}"	computed_or_insufficient	0.03354	0.03056	0.01777	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:26	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7331, ""True"": 232}"	computed_or_insufficient	0.02798	0.02711	0.00575	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:27	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7275, ""True"": 288}"	computed_or_insufficient	0.00418	0.00716	0.01671	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:28	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7186, ""True"": 377}"	computed_or_insufficient	0.04261	0.04072	0.01196	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:29	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7288, ""True"": 275}"	computed_or_insufficient	0.00186	0.00326	0.00785	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:30	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7182, ""True"": 381}"	computed_or_insufficient	0.02623	0.02422	0.0121	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:31	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7315, ""True"": 248}"	computed_or_insufficient	0.02458	0.02196	0.01547	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:32	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7290, ""True"": 273}"	computed_or_insufficient	0.01662	0.01683	0.00074	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:33	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7234, ""True"": 329}"	computed_or_insufficient	0.01916	0.01608	0.01792	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:34	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7324, ""True"": 239}"	computed_or_insufficient	0.00258	0.0001	0.01518	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:35	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7312, ""True"": 251}"	computed_or_insufficient	0.01196	0.00927	0.01556	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:36	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7198, ""True"": 365}"	computed_or_insufficient	0.02494	0.02172	0.01892	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:37	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7256, ""True"": 307}"	computed_or_insufficient	0.02487	0.02336	0.00925	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:38	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7352, ""True"": 211}"	computed_or_insufficient	0.00878	0.0063	0.01423	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:39	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7276, ""True"": 287}"	computed_or_insufficient	0.03484	0.03354	0.00839	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:40	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7428, ""True"": 135}"	computed_or_insufficient	0.03704	0.03735	0.00065	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:41	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7412, ""True"": 151}"	computed_or_insufficient	0.00413	0.00628	0.01199	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:42	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7350, ""True"": 213}"	computed_or_insufficient	0.02002	0.01759	0.0143	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:43	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7452, ""True"": 111}"	computed_or_insufficient	0.02893	0.0296	0.00293	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:44	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7341, ""True"": 222}"	computed_or_insufficient	0.01803	0.0172	0.00522	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:45	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7295, ""True"": 268}"	computed_or_insufficient	0.04447	0.04185	0.0161	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:46	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7117, ""True"": 446}"	computed_or_insufficient	0.02664	0.02424	0.0143	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:47	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7403, ""True"": 160}"	computed_or_insufficient	0.03103	0.02901	0.01235	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:48	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7245, ""True"": 318}"	computed_or_insufficient	0.02545	0.02386	0.0097	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:49	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7450, ""True"": 113}"	computed_or_insufficient	0.00435	0.0062	0.01035	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:50	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7374, ""True"": 189}"	computed_or_insufficient	0.01926	0.01698	0.01345	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:51	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7446, ""True"": 117}"	computed_or_insufficient	0.03504	0.03564	0.00231	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:52	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7392, ""True"": 171}"	computed_or_insufficient	0.02761	0.02549	0.01278	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:53	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7250, ""True"": 313}"	computed_or_insufficient	0.01344	0.01042	0.01746	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:54	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7507, ""True"": 56}"	computed_or_insufficient	0.00616	0.00819	0.01123	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:55	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7390, ""True"": 173}"	computed_or_insufficient	0.03059	0.02847	0.01285	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:56	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7464, ""True"": 99}"	computed_or_insufficient	0.03787	0.03636	0.00967	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:57	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7303, ""True"": 260}"	computed_or_insufficient	0.02656	0.02488	0.01025	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:58	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7353, ""True"": 210}"	computed_or_insufficient	0.02014	0.01944	0.00455	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:10:59	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7426, ""True"": 137}"	computed_or_insufficient	0.00883	0.00685	0.01141	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:00	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7506, ""True"": 57}"	computed_or_insufficient	0.01043	0.00919	0.00732	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:01	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7503, ""True"": 60}"	computed_or_insufficient	0.0039	0.00259	0.00751	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:02	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7538, ""True"": 25}"	computed_or_insufficient	0.00698	0.01106	0.02278	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:03	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7456, ""True"": 107}"	computed_or_insufficient	0.01679	0.0151	0.01006	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:04	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7512, ""True"": 51}"	computed_or_insufficient	0.01639	0.01427	0.01245	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:05	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7359, ""True"": 204}"	computed_or_insufficient	0.01003	0.0076	0.01399	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:06	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7416, ""True"": 147}"	computed_or_insufficient	0.01097	0.00906	0.01114	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:07	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7510, ""True"": 53}"	computed_or_insufficient	0.00294	0.0017	0.00706	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:08	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7470, ""True"": 93}"	computed_or_insufficient	0.00414	0.00582	0.00937	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:09	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7460, ""True"": 103}"	computed_or_insufficient	0.03075	0.02916	0.00987	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:10	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7458, ""True"": 105}"	computed_or_insufficient	0.02729	0.02566	0.00997	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:11	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7279, ""True"": 284}"	computed_or_insufficient	0.04236	0.04112	0.00826	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:12	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7354, ""True"": 209}"	computed_or_insufficient	0.02473	0.02235	0.01416	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:13	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7383, ""True"": 180}"	computed_or_insufficient	0.03801	0.03588	0.01312	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:14	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7363, ""True"": 200}"	computed_or_insufficient	0.03392	0.03164	0.01385	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:15	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7296, ""True"": 267}"	computed_or_insufficient	0.02888	0.02618	0.01607	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:16	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7532, ""True"": 31}"	computed_or_insufficient	0.01075	0.00985	0.00539	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:17	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7492, ""True"": 71}"	computed_or_insufficient	0.02015	0.01881	0.00818	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:18	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7353, ""True"": 210}"	computed_or_insufficient	0.02525	0.02286	0.0142	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:19	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7345, ""True"": 218}"	computed_or_insufficient	0.02429	0.02185	0.01447	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:20	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7496, ""True"": 67}"	computed_or_insufficient	0.00477	0.00339	0.00794	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:21	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7327, ""True"": 236}"	computed_or_insufficient	0.0119	0.01463	0.01508	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:22	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7482, ""True"": 81}"	computed_or_insufficient	0.02804	0.02664	0.00874	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:23	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7515, ""True"": 48}"	computed_or_insufficient	0.0218	0.02072	0.00671	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:24	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7364, ""True"": 199}"	computed_or_insufficient	0.02817	0.02587	0.01381	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:25	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7461, ""True"": 102}"	computed_or_insufficient	0.0422	0.04068	0.00982	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:26	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7476, ""True"": 87}"	computed_or_insufficient	0.00172	0.00333	0.00906	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:27	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7481, ""True"": 82}"	computed_or_insufficient	0.01798	0.01652	0.0088	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:28	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7453, ""True"": 110}"	computed_or_insufficient	0.03294	0.03131	0.01021	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:29	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7443, ""True"": 120}"	computed_or_insufficient	0.00778	0.00593	0.01067	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:30	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7460, ""True"": 103}"	computed_or_insufficient	0.05005	0.04856	0.00987	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:31	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7492, ""True"": 71}"	computed_or_insufficient	0.00595	0.00743	0.00818	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:32	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7483, ""True"": 80}"	computed_or_insufficient	0.00269	0.00116	0.00869	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:33	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7256, ""True"": 307}"	computed_or_insufficient	0.0304	0.03362	0.01728	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:34	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7516, ""True"": 47}"	computed_or_insufficient	0.01015	0.00903	0.00664	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:35	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7365, ""True"": 198}"	computed_or_insufficient	0.00038	0.00282	0.01377	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:36	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7419, ""True"": 144}"	computed_or_insufficient	0.00731	0.00733	0.00011	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:37	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7309, ""True"": 254}"	computed_or_insufficient	0.03466	0.03606	0.00686	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:38	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7384, ""True"": 179}"	computed_or_insufficient	0.00989	0.00762	0.01308	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:39	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7387, ""True"": 176}"	computed_or_insufficient	0.02479	0.02262	0.01297	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:40	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7499, ""True"": 64}"	computed_or_insufficient	0.00126	0.00264	0.00776	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:41	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7514, ""True"": 49}"	computed_or_insufficient	0.00533	0.00415	0.00678	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:42	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7414, ""True"": 149}"	computed_or_insufficient	0.01259	0.01055	0.01191	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:43	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7459, ""True"": 104}"	computed_or_insufficient	0.0194	0.01774	0.00992	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:44	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7405, ""True"": 158}"	computed_or_insufficient	0.01817	0.01609	0.01227	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:45	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7471, ""True"": 92}"	computed_or_insufficient	0.02559	0.02664	0.00514	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:46	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7489, ""True"": 74}"	computed_or_insufficient	0.02546	0.02411	0.00835	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:47	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7402, ""True"": 161}"	computed_or_insufficient	0.01415	0.01203	0.01239	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:48	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7342, ""True"": 221}"	computed_or_insufficient	0.024	0.02505	0.00516	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:49	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7360, ""True"": 203}"	computed_or_insufficient	0.06311	0.06097	0.01395	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:50	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7301, ""True"": 262}"	computed_or_insufficient	0.0388	0.03618	0.01591	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:51	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7494, ""True"": 69}"	computed_or_insufficient	0.02139	0.02008	0.00806	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:52	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7364, ""True"": 199}"	computed_or_insufficient	0.03691	0.03465	0.01381	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:53	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7450, ""True"": 113}"	computed_or_insufficient	0.01871	0.01697	0.01035	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:54	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7323, ""True"": 240}"	computed_or_insufficient	0.03183	0.03091	0.00617	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:55	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7413, ""True"": 150}"	computed_or_insufficient	0.01122	0.00916	0.01195	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:56	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7347, ""True"": 216}"	computed_or_insufficient	0.0271	0.02811	0.00489	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:57	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7415, ""True"": 148}"	computed_or_insufficient	0.0059	0.00382	0.01187	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:58	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7440, ""True"": 123}"	computed_or_insufficient	0.01434	0.0125	0.0108	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:11:59	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7462, ""True"": 101}"	computed_or_insufficient	0.01966	0.01802	0.00977	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:00	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7350, ""True"": 213}"	computed_or_insufficient	0.01495	0.01249	0.0143	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:01	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7421, ""True"": 142}"	computed_or_insufficient	0.01215	0.01015	0.01162	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:02	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7488, ""True"": 75}"	computed_or_insufficient	0.03471	0.0334	0.00841	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:03	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7315, ""True"": 248}"	computed_or_insufficient	0.02725	0.02855	0.00657	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:04	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7487, ""True"": 76}"	computed_or_insufficient	0.01224	0.01381	0.00846	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:05	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7325, ""True"": 238}"	computed_or_insufficient	0.01967	0.01708	0.01514	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:06	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7415, ""True"": 148}"	computed_or_insufficient	0.01026	0.01241	0.01187	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:07	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7426, ""True"": 137}"	computed_or_insufficient	0.00795	0.01001	0.01141	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:08	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7464, ""True"": 99}"	computed_or_insufficient	0.01819	0.01657	0.00967	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:09	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7471, ""True"": 92}"	computed_or_insufficient	0.01523	0.01696	0.00932	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:10	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7430, ""True"": 133}"	computed_or_insufficient	0.00455	0.00657	0.01124	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:11	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7533, ""True"": 30}"	computed_or_insufficient	0.00053	0.00041	0.0053	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:12	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7403, ""True"": 160}"	computed_or_insufficient	0.01937	0.01728	0.01235	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:13	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7433, ""True"": 130}"	computed_or_insufficient	0.01108	0.01311	0.01111	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:14	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7502, ""True"": 61}"	computed_or_insufficient	0.04245	0.04132	0.00758	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:15	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7398, ""True"": 165}"	computed_or_insufficient	0.00891	0.00673	0.01255	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:16	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7410, ""True"": 153}"	computed_or_insufficient	0.00716	0.00506	0.01207	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:17	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7438, ""True"": 125}"	computed_or_insufficient	0.01571	0.01386	0.01089	7563
payload.entry_candle_context.multi_timeframe_context.source_quality.missing_minutes.contains:12:18	collected_raw_precursor	categorical	7563	56.81	"{""False"": 7521, ""True"": 42}"	computed_or_insufficient	0.0345	0.03356	0.00628	7563
